i	val
0	516146.444444
1	57840.654971
2	5430.370511
3	898.903905
4	213.982833
5	67.706187
6	26.999055
7	13.475117
8	8.292841
9	6.237947
10	5.671706
11	6.252845
12	8.336276
13	13.556479
14	27.262765
15	68.498459
16	218.759254
17	920.378003
18	5263.712329
19	55732.401130
20	338015.375000
