i	val
0	1048576.000000
1	52428.800000
2	5518.821053
3	919.803509
4	216.424355
5	67.632611
6	27.053044
7	13.526522
8	8.324014
9	6.243010
10	5.675464
11	6.243010
12	8.324014
13	13.526522
14	27.053044
15	67.632611
16	216.424355
17	919.803509
18	5518.821053
19	52428.800000
20	1048576.000000
