i	val
0	32424.297386
1	2153.246876
2	305.874185
3	72.217317
4	24.060740
5	10.890136
6	6.519814
7	5.081033
8	5.083987
9	6.566934
10	10.969110
11	24.196823
12	72.928887
13	316.007743
14	2233.664727
15	31764.298077
