i	val
0	-1.000000
1	-1.000000
2	2777629.333333
3	207050.086957
4	36251.758491
5	7646.160276
6	1735.273832
7	522.494118
8	182.548094
9	74.453150
10	35.504632
11	19.531157
12	12.355753
13	8.929550
14	7.365634
15	6.909822
16	7.395448
17	8.981444
18	12.508448
19	19.896429
20	36.376043
21	75.407983
22	181.814993
23	519.340605
24	1739.327187
25	7250.917638
26	38531.600775
27	414214.708333
28	3011389.000000
29	752847.750000
30	-1.000000
